library,input_reads,output_reads,percent_retained
JG10_S10_R1_001.fastq.gz,13771954,13682821,99.35%
JG11_S11_R1_001.fastq.gz,14455075,14362538,99.36%
JG12_S12_R1_001.fastq.gz,18394735,18267961,99.31%
JG13_S13_R1_001.fastq.gz,33205309,32949470,99.23%
JG15_S14_R1_001.fastq.gz,19305137,19154699,99.22%
JG16_S15_R1_001.fastq.gz,22009028,21848664,99.27%
JG17_S16_R1_001.fastq.gz,31905615,31693290,99.33%
JG18_S17_R1_001.fastq.gz,1783961,1770417,99.24%
JG19_S18_R1_001.fastq.gz,32923951,32671127,99.23%
JG1_S1_R1_001.fastq.gz,6456186,6415281,99.37%
JG20_S19_R1_001.fastq.gz,40662300,40310242,99.13%
JG21_S20_R1_001.fastq.gz,34107230,33806740,99.12%
JG22_S21_R1_001.fastq.gz,16828971,16698124,99.22%
JG23_S22_R1_001.fastq.gz,44906038,44562660,99.24%
JG24_S23_R1_001.fastq.gz,21851893,21660523,99.12%
JG25_S24_R1_001.fastq.gz,13336079,13238176,99.27%
JG26_S25_R1_001.fastq.gz,15801749,15674355,99.19%
JG27_S26_R1_001.fastq.gz,26398869,26215239,99.30%
JG28_S27_R1_001.fastq.gz,22492244,22323482,99.25%
JG2_S2_R1_001.fastq.gz,21138666,21000515,99.35%
JG3_S3_R1_001.fastq.gz,18512902,18383179,99.30%
JG4_S4_R1_001.fastq.gz,20889454,20753272,99.35%
JG5_S5_R1_001.fastq.gz,18388538,18251872,99.26%
JG6_S6_R1_001.fastq.gz,58744422,58321531,99.28%
JG7_S7_R1_001.fastq.gz,21899516,21745105,99.29%
JG8_S8_R1_001.fastq.gz,24795775,24593348,99.18%
JG9_S9_R1_001.fastq.gz,4904719,4875390,99.40%
Undetermined_S0_R1_001.fastq.gz,26609680,24934977,93.71%
